行く 	て 
よこす 	が 

出来る 	と 

思う 	と 
する 	と 
見る 	て ね と 

れる 	よ 

する 	さ 
する 	と 
云う 	と 
云う 	さ 

する 	に 
いう 	から 
書く 	の 
示す 	という 
云う 	が 
ある 	かも 

見る 	て から と 

読む 	を 

云う 	さ 
云う 	さ 
わかる 	さ 
云う 	を 
持つ 	という 

かえす 	よ と 
いく 	て 

投げる 	で 

する 	て 

擲つ 	に 

落ちる 	か と 

住む 	に と 

引く 	で 

落す 	が 

来る 	から 

呼ぶ 	て 

飛ぶ 	で 
預る 	か ね と 
訳す 	さ 
見る 	か ね と 

する 	と は 
ある 	と 
担ぐ 	と 

する 	は 

思う 	ばかり さ 
訳す 	ばかり さ 

やめる 	と 
やる 	て ね 
思う 	じゃ 

ほめる 	に と 
なる 	て 

する 	て 

られる 	で と 
わかる 	を 

分る 	を 

浮かれる 	も 

云う 	が 
来る 	が 
上る 	が 
云う 	は 
変る 	が 
ある 	か と 
思う 	から 
する 	から 
上る 	て 
行く 	が 
する 	て ね 
待ち構える 	は 

云う 	と 
読む 	ので 
する 	ね と 

する 	は 
ある 	よ 
ちる 	よ 
断る 	ね と 

云う 	に 
なる 	で と 
のむ 	で と 
踏む 	が 

読む 	て と 
買う 	て 
云う 	と 

来る 	は 
なる 	と 
笑う 	て よ と 

うむ 	と 

する 	に ね 

話す 	よ 

する 	から 
やる 	って 

やる 	かい と 
聞く 	といった の さ 
いう 	から 
撰ぶ 	と 
する 	から 
云う 	といった の さ 
聞く 	といった の さ 

する 	と 
する 	よ 
思う 	と 

留める 	で 
云う 	から なあ と 

云う 	を 
する 	て 
しつける 	から 

買う 	が 
挿す 	じゃ か と 

いう 	よ と 

聞く 	の 

伺う 	と 
ある 	ね 
待つ 	ね 

食う 	で 
読む 	へ 
来る 	と 
見る 	て ね 
いる 	て ね 

する 	が 
焚く 	て と 
する 	とか 
引く 	さ 

する 	て は 

生きる 	に 
する 	と 
ある 	と 
云う 	に 

始まる 	て のに 
する 	て のに 
いる 	で と 
遊ぶ 	て 

思う 	じゃ ね 
遊ぶ 	て さ 
する 	ものの 

読む 	に は 
なる 	と 
云う 	が 

取る 	に 
候う 	か と 
祝う 	か と 
書く 	が 
する 	ば 
来る 	と 

なる 	と 
書く 	て 

ある 	から 
出来る 	さ 
蒙る 	に 

におう 	から 

来る 	て と 
云う 	に 
なる 	と 
入れる 	と 

向く 	て 
知る 	て 

曇る 	から 

云う 	が 

云う 	じゃ か と 
死ぬ 	に 

上げる 	と 
見る 	て さ 

懸る 	さ と 

懸る 	は 

懸る 	で 
懸る 	さ 

云う 	が 
付く 	と 
する 	で 

ある 	て 
来る 	と 
見る 	て 

返る 	て 

死ぬ 	に 

見る 	て 

見る 	かしら と 
来る 	と 

する 	と 
添える 	が 

入れる 	に 

入れる 	は 
引く 	て 
ゆるめる 	という 

及ぶ 	と 
試みる 	と 
懸ける 	と 

する 	を 
する 	と 

やる 	に 
する 	が 
来る 	て と 

逢う 	て 
話す 	て 
する 	と 
云う 	に 
なる 	さ 

栄える 	と 

帰る 	と 
見る 	て 

出る 	という 
期す 	が 
ある 	て 
縊れる 	と 

引く 	と 
引き返す 	と 
見る 	て 
云う 	て 
見る 	て 

見る 	と 

見る 	て 
来る 	て 

考える 	ね 

云う 	て 
する 	が 

ある 	じゃ か は 

やる 	ながら 
思う 	て 
云う 	て 
頬張る 	て 

掻く 	て が 
いる 	て が 

伺う 	と 
見る 	が 
有る 	が 
似る 	を 
する 	から 

明ける 	から 
起る 	から 

ある 	て 

集る 	で 
思う 	くらい に 

すむ 	で 
すむ 	て 
話す 	て 
出る 	から 
なる 	か と 
する 	か と 
帰る 	て と 
思う 	から 
来る 	ので 
聞く 	から 
逢う 	は 
見受ける 	と 
いる 	と 
聞く 	と 
見る 	て という 
逢う 	から 
口走る 	て という 
いる 	て という 

云う 	て 

呼ぶ 	て と 
見る 	が 
しく 	て から 
思う 	と 
聞く 	が 

うなされる 	の 

伺う 	が 
云う 	が 
返る 	が 
聞える 	と 
承る 	ね 
わる 	と 

なる 	から 

なさる 	から 
いける 	から 
なる 	を 
なる 	に 
起す 	て て 

見る 	が 
かたまる 	て に 

呼ぶ 	が 

呼ぶ 	は 
すかす 	が 

帰る 	て 
思う 	と 

立つ 	て 

呼ぶ 	に は 

響く 	て 

巻き込む 	と 
出る 	へ 
云う 	が 

訴える 	に 
求める 	ので 
行く 	て 

呼ぶ 	が 
洩れる 	て ね 

思う 	よ 

呼ぶ 	と 
飛び込む 	て 
する 	て と 
見つめる 	て 

思う 	て て 
込める 	て て 
飛び上がる 	て 

飛び込む 	と 

行く 	と 

飛び込む 	は 

さめる 	と 
見る 	は が 
濡れる 	も 
飲む 	も 

気が付く 	と 
いる 	と 
見渡す 	ね 

飛び込む 	で 
間違う 	ので 

出る 	へ 
行く 	が 
出来る 	は 
笑う 	に て 

似る 	が 

云う 	で 
する 	よ 

行く 	て から 
突く 	と 
する 	と 

負ける 	を 

ある 	の 
ある 	に 

欠ける 	の 

聞かす 	から 
云う 	さ 
やる 	も 
聞く 	さ 
する 	さ 

持つ 	と 

よす 	と 

なる 	に は 

聞く 	と 
行く 	って も 
下す 	と 

行く 	て も 
懸ける 	たって 
這入る 	は 

云う 	へ 
行く 	と 
云う 	が 
在る 	て 
する 	が 
する 	から 
脱す 	を 
やめる 	と 
云う 	が 
する 	から 
踏む 	て から 
かかる 	を 
泣く 	を 

行く 	に 

くる 	と 
行く 	と 
行く 	に ちゃ 
いける 	と 
する 	と 

行く 	と 
行く 	ちゃ 
とる 	から と 
教える 	を 

